Utstein Data Element,Formula,Variables to collect
"The number of “immediate” and “delayed” survivors admitted to the ED, requiring computed tomography at 30 minutes intervals after initiation of the response",,Number of T1 survivors admitted to the ED requiring CT scan after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Number of T2 survivors admitted to the ED requiring CT scan after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Time point of CT scan use for each T1 and T2 survivor | Time point of the activation of the DMMP
The number of critically ill/injured survivors admitted to intensive care units (ICU) at 30 minutes interval after initiation of the response,,Number of critically ill/injured survivors admitted to any ICU after the following minutes of the activation of the DMMP: | 0 minutes | 30 minutes | 60 minutes | etc. | Time point of the admission of each critically ill/injured survivor in any ICU | Time point of the activation of the DMMP
"The percentage of ill/injured survivors admitted to the ICU, requiring artificial ventilation",,Number of critically ill/injured survivors admitted to any ICU and with mechanical ventilation | Total number of critically ill/injured survivors admitted to any ICU
The mean time interval of critically ill/injured survivors from the onset of disaster to admission to ICU,,Time point of the admission of each critically ill/injured survivor in any ICU | Time point of the disaster onset | Total number of critically ill/injured survivors admitted to any ICU
The mean time interval of critically ill/injured survivors from admission to the ED to admission to the intensive care unit,,Time point of the admission of each critically ill/injured survivor in any ICU | Time point of the admission of each critically injured survivor in the ED | Total number of critically ill/injured survivors admitted to any ICU
Use of alternative ICUs,,Alternative ICU use: | 1 = Yes | 2 = No | 3 = Unknown
Morbidity (length of stay),Morbidity (length of stay),Morbidity (length of stay)
Mean length of stay in minutes of “immediate category” survivors in the ED,,Time point of the successful transfer of each T1 survivor out of the ED | Time point of the admission of each T1 survivor in the ED | Total number of T1 survivors successfully transferred out of the ED
Median length of stay of “immediate category” survivors in the ED,"Example: | ER Admission Time: 12:00 | T1 A Transfer Out: 12:30 = 30 minutes | T1 B Transfer Out: 12:45 = 45 minutes | T1 C Transfer Out: 13:00 = 60 minutes | Median of 30, 45, and 60 = 45 minutes",Time point of the successful transfer of each T1 survivor out of the ED | Time point of the admission of each T1 survivor in the ED
Mean length of stay in minutes of “delayed category” survivors in the ED,,Time point of the successful transfer of each T2 survivor out of the ED | Time point of the admission of each T2 survivor in the ED | Total number of T2 survivors successfully transferred out of the ED
Median length of stay of “delayed category” survivors in the ED,"Example: | ER Admission Time: 12:00 | T2 A Transfer Out: 12:30 = 30 minutes | T2 B Transfer Out: 12:45 = 45 minutes | T2 C Transfer Out: 13:00 = 60 minutes | Median of 30, 45, and 60 = 45 minutes",Time point of the successful transfer of each T2 survivor out of the ED | Time point of the admission of each T2 survivor in the ED
